Empresa,Numero,Trimestre,Ativo total,Lucro operacional,Depositos totais,M_Roa,M_Ets,DP_Roa,z_score,TAM,LIQ,SB  t,SB t-1,PQ_dummy,Roa,Ets,LN Depósitos,Patrimonio liquido,LN PL
IND,10,19_1t,2213007,-35026,582002,-0.019641434992636,0.094131817554735,0.01233700987645,6.03796084367999,14.6098627821552,0.262991486244734,0.026624068,0.05529522,1,0.005953708575201,0.139907053823896,16.1557994449405,108177,11.5915240534824
IND,10,19_2t,2368873,-6548,581766,-0.01941092708838,0.092733125654224,0.012646592096724,5.79778315020035,14.6779248725861,0.245587669748442,0.010940919,0.026624068,1,0.006029309288536,0.153124816154469,16.250491486582,318706,12.6720243267108
IND,10,19_3t,2343970,-39649,664035,-0.019913169735883,0.095492342200937,0.012394525733413,6.09778656244243,14.6673566309623,0.283295008041912,-0.023722628,0.010940919,1,-0.003485503487988,0.150196607239602,16.3606863154006,399193,12.8972002881956
IND,10,20_1t,2910113,-25399,722235,0.002107879630558,0.140399183802934,0.004497601801877,31.6851223632129,14.8837024700089,0.248181084377136,-0.081364829,-0.023722628,1,-0.008727839778043,0.099254565028918,13.4901058496808,288842,12.5736351047899
IND,10,20_2t,3462653,-66724,764459,0.000227751093725,0.135861987054027,0.007601970301934,17.9019034201079,15.0575456162271,0.220772627231201,0.12826087,-0.081364829,1,-0.019269617833494,0.072580475144348,13.5469236730897,251321,12.4344862854999
IND,10,20_3t,3958192,-87560,809183,-0.001680819539142,0.129991701701407,0.009959678196823,12.8830349361285,15.1912979133163,0.204432478262803,0.158878505,0.12826087,1,-0.022121210896288,0.060048375622001,13.6037803756517,237683,12.3786931320696
ITA,11,12_4t,1014424676,2704865,175658059,0.005826128335655,0.08544882660577,0.001724927688347,52.9152355533882,20.7375874670611,0.173160278092447,-0.032971708,0,0,0.001437186590804,0.291940710891166,14.0532912615873,75122382,18.1346291016267
ITA,11,13_1t,1028706873,4924171,178574229,0.005622592055897,0.084177033904608,0.001688024805155,53.1980488001411,20.7515683873271,0.173590974928774,-0.073469388,-0.032971708,0,0.00983820290595,0.293738126398696,13.859146509591,76112985,18.1477294390252
ITA,11,13_2t,1057681498,3533779,184878576,0.005325926070659,0.082767280150832,0.001754435798967,50.2117012622434,20.7793450834725,0.174796076464978,-0.060452847,-0.073469388,0,0.007119273306999,0.279531228836798,13.9695183704436,77577300,18.1667854165862
ITA,11,13_3t,1082786822,5687614,192810585,0.00513616935785,0.081538788869952,0.001611733677692,53.7774692106338,20.8028039453311,0.178068832278419,-0.059314587,-0.060452847,0,0.00746549854844,0.271361658843235,14.0762196071646,80101384,18.1988036902913
ITA,11,13_4t,1105721310,5610369,208538406,0.004875514686993,0.080658441242898,0.001292109778225,66.1971276522786,20.8237637281857,0.188599427463327,-0.01529052,-0.059314587,0,0.003450613403605,0.264005593902548,14.1269059832002,82927939,18.2334825838335
ITA,11,14_1t,1107375559,7068797,207303641,0.004854081614638,0.079797797634913,0.001261951093104,67.0801584246428,20.8252586914937,0.187202651634467,-0.06283084,-0.01529052,0,0.007890150320817,0.253311565089049,14.2926207506641,84092357,18.2474262409085
ITA,11,14_2t,1111931863,7792666,218744609,0.004925773707139,0.079093317142592,0.001362563132673,61.662530590364,20.8293647566169,0.196724832050253,-0.025507998,-0.06283084,0,0.009626285380161,0.235972906671602,14.2630282630907,87961821,18.2924134260286
ITA,11,14_3t,1157557038,6054335,221399017,0.005076143366882,0.078805343771302,0.001278988423079,65.584242691006,20.8695776196004,0.191264023915857,-0.026742657,-0.025507998,0,0.006975176737306,0.219112394885533,14.3634938066413,93099641,18.3491808861711
ITA,11,14_4t,1208701675,5212532,228939729,0.00490886702385,0.078386733917467,0.001231944435652,67.6131151136359,20.9128126246151,0.189409623346472,0.029572424,-0.026742657,0,0.0019523277187,0.221359394922442,14.3598647638615,98262440,18.4031524164746
ITA,11,15_1t,1294613232,3146647,238856770,0.004607258480303,0.07782490327974,0.001363251931056,60.4672987304847,20.9814778249411,0.184500485624575,-0.023337737,0.029572424,0,0.009735259985236,0.22020537126066,14.3683704331701,98653492,18.4071241876777
ITA,11,15_2t,1230510247,9443192,222893397,0.004905643082279,0.07750330732798,0.001610108494092,51.182234434899,20.9306947552699,0.181139001112276,-0.01278558,-0.023337737,0,0.000965743053288,0.23794413778947,14.4454724347083,102480843,18.4451864415142
ITA,11,15_3t,1322692628,-6934919,244856389,0.004076420319344,0.077179751435536,0.003346939006,24.2777569621715,21.0029353655325,0.185119644440931,-0.012407992,-0.01278558,0,0.003239524227446,0.227738061607656,14.5403017438587,105201453,18.4713876699596
ITA,11,15_4t,1359172441,9083655,232618778,0.004411155471427,0.077643592619028,0.003393640003932,24.1789783227999,21.0301418522188,0.171147362161679,0.055495495,-0.012407992,0,0.00040842298772,0.238023611706357,14.4457797046809,108217675,18.499655265934
ITA,11,16_1t,1283071018,9799832,212520504,0.004648741784953,0.078521181039131,0.003519781351328,23.6292867432524,20.9725222741267,0.165634248625823,-0.043556759,0.055495495,0,0.005017935465298,0.222646433863883,14.5004970303407,108445231,18.5017558200886
ITA,11,16_2t,1395856247,11548545,248040166,0.005059774043168,0.07980512260747,0.0036391628727,23.3198951570105,21.0567738610559,0.177697500393105,-0.05365223,-0.043556759,0,0.007285641433711,0.243485093801304,14.5649700167146,123887629,18.6348854949638
ITA,11,16_3t,1399099604,6935082,246594399,0.005035112612272,0.081263589942065,0.003638738924835,23.7166513830753,21.0590947266644,0.176252211275731,-0.053579271,-0.05365223,0,0.000274971026543,0.241583437181451,14.5900547594706,127987766,18.667445239191
ITA,11,16_4t,1425638779,7553615,249014691,0.005053817817437,0.082449839720575,0.00363953353849,24.0425473793835,21.0778858161908,0.174668853476804,0.018952447,-0.053579271,0,-0.010580517851176,0.209279445316566,14.5905929619519,127215378,18.6613920977894
ITA,11,17_1t,1413269481,9753442,241902202,0.005096980640554,0.083571366452257,0.003659749990613,24.2279793210596,21.0691716379638,0.171164951378441,-0.061215753,0.018952447,0,0.008356239047331,0.218292417007624,14.5951005372372,126341694,18.6545006516084
ITA,11,17_2t,1448335223,7278782,250728184,0.004931763731452,0.084469481315546,0.003610038491449,24.7646237730562,21.0936806117129,0.173114745825663,-0.049167005,-0.061215753,0,0.010298724818431,0.23565430070387,14.5118431596789,130183007,18.684451764628
ITA,11,17_3t,1465999788,10233061,249153856,0.005077596367605,0.085449024515595,0.003658218471162,24.7460947444272,21.1058032957997,0.169954905887067,-0.030605871,-0.049167005,0,0.008681986913543,0.235835999901666,14.3918407361074,135139101,18.7218151837057
ITA,11,17_4t,1503503484,5640689,273339101,0.005030862340484,0.086375124128411,0.003672435686544,24.8897446465326,21.1310638776499,0.181801441705206,0.03470255,-0.030605871,0,0.01045903195832,0.248145895471178,14.1247730881994,138937334,18.7495335549062
ITA,11,18_1t,1524353773,9336552,275528080,0.005338725297739,0.087171615601087,0.003588526097977,25.7794811499323,21.1448364017863,0.180750744925666,-0.078661266,0.03470255,0,0.005654321130346,0.235830617637566,14.0315215328241,130730042,18.6886450068108
ITA,11,18_2t,1542684090,3594152,283825616,0.004893358292977,0.087523726487849,0.003603932429498,25.6434010872142,21.1567896518415,0.183981683508514,-0.080049261,-0.078661266,0,0.017708981048299,0.246978203204606,14.001497057311,134998033,18.7207707659262
ITA,11,18_3t,1613161655,8438703,301132861,0.005766207385165,0.088060562978863,0.001681366981862,55.8038616055821,21.2014618511546,0.186672464019113,-0.078309376,-0.080049261,0,0.007967630170435,0.247968826505923,13.9564248795736,138696196,18.7477964588095
ITA,11,18_4t,1649613394,10174940,307832084,0.005723278276716,0.08870621801128,0.001662293222124,56.8067625080725,21.2238067907381,0.186608623038375,-0.019888624,-0.078309376,0,0.018829246879846,0.252373988094012,14.0976887618812,144123636,18.7861820725018
ITA,11,19_1t,1651424567,9871777,309181469,0.005584939962333,0.088340053509592,0.001554030950401,60.4395899886595,21.2249041263054,0.187221066694959,-0.109923664,-0.019888624,0,0.013596890224731,0.235523447336631,14.3733390353256,132322176,18.7007502340863
ITA,11,19_2t,1678378171,10453370,315825995,0.005414507294376,0.087808284940427,0.0013280999393,70.1926033397335,21.2410937896828,0.188173321398613,-0.064046243,-0.109923664,0,0.011602385029387,0.227138808035671,14.2851878839789,138252435,18.7445918112315
ITA,11,19_3t,1738339230,5152063,334111525,0.005248421181828,0.086826018349479,0.001503568212161,61.2372879305296,21.2761960288633,0.192201567584711,-0.079933978,-0.064046243,0,0.010956114755453,0.211583504505489,14.4051127959379,138530804,18.7466032704142
ITA,11,19_4t,1738713009,3894397,334197542,0.004993538558058,0.086236297543157,0.001735655928014,52.5621666303285,21.2764110264968,0.192209720793548,-0.031425598,-0.079933978,0,0.009263138917196,0.117238785229412,14.4459399588305,142847965,18.7772914408273
ITA,11,20_1t,1982498000,-9519000,484406000,0.010018077813436,0.213052505732513,0.006018758096455,37.0625600781881,21.4076235026455,0.244341230104646,-0.09629273,-0.031425598,0,-0.00480151808476,0.062357692164128,19.998433956024,123624000,18.6327552588957
ITA,11,20_2t,2075122000,-9097000,507594000,0.00879453085882,0.198488927310569,0.007310338682373,28.3548365097232,21.4532857840814,0.244609232613793,-0.070702607,-0.09629273,0,-0.004383838636957,0.060891359640542,20.0451924734037,126357000,18.6546217919259
